Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
1,B001E4KFG0,A3SGXH7AUHU8GW,delmartian,1,1,5,1303862400,good quality dog food,bought several vitality canned dog food product found good quality product look like stew processed meat smell better labrador finicky appreciates product better
2,B00813GRG4,A1D87F6ZCVE5NK,dll pa,0,0,1,1346976000,advertised,product arrived labeled jumbo salted peanutsthe peanut actually small sized unsalted sure error vendor intended represent product jumbo
3,B000LQOCH0,ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",1,1,4,1219017600,delight say,confection around century light pillowy citrus gelatin nut case filbert cut tiny square liberally coated powdered sugar tiny mouthful heaven chewy flavorful highly recommend yummy treat familiar story c lewis lion witch wardrobe treat seduces edmund selling brother sister witch
4,B000UA0QIQ,A395BORC6FGVXV,Karl,3,3,2,1307923200,cough medicine,looking secret ingredient robitussin believe found got addition root beer extract ordered good made cherry soda flavor medicinal
5,B006K2ZZ7K,A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",0,0,5,1350777600,great taffy,great taffy great price wide assortment yummy taffy delivery quick taffy lover deal
6,B006K2ZZ7K,ADT0SRK1MGOEU,Twoapennything,0,0,4,1342051200,nice taffy,got wild hair taffy ordered five pound bag taffy enjoyable many flavor watermelon root beer melon peppermint grape etc complaint bit much redblack licoriceflavored piece particular favorite kid husband lasted two week would recommend brand taffy delightful treat
7,B006K2ZZ7K,A1SP2KVKFXXRU1,David C. Sullivan,0,0,5,1340150400,great good expensive brand,saltwater taffy great flavor soft chewy candy individually wrapped well none candy stuck together happen expensive version fralingers would highly recommend candy served beachthemed party everyone loved
8,B006K2ZZ7K,A3JRGQVEQN31IQ,Pamela G. Williams,0,0,5,1336003200,wonderful tasty taffy,taffy good soft chewy flavor amazing would definitely recommend buying satisfying
9,B000E7L2R4,A1MZYO9TZK0BBI,R. James,1,1,5,1322006400,yay barley,right im mostly sprouting cat eat grass love rotate around wheatgrass rye
10,B00171APVA,A21BT40VZCCYT4,Carol A. Reed,0,0,5,1351209600,healthy dog food,healthy dog food good digestion also good small puppy dog eats required amount every feeding
11,B0001PB9FE,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,best hot sauce world,dont know cactus tequila unique combination ingredient flavour hot sauce make one kind picked bottle trip brought back home u totally blown away realized simply couldnt find anywhere city bummedbr br magic internet case sauce ecstatic itbr br love hot saucei mean really love hot sauce dont want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use saucebr br thank personal incredible service
12,B0009XLVG0,A2725IB4YY9JEB,"A Poeng ""SparkyGoHome""",4,4,5,1282867200,cat love diet food better regular food,one boy needed lose weight didnt put food floor chubby guy proteinrich byproduct food higher skinny boy jump higher food sits going stale really go food chubby boy losing ounce week
13,B0009XLVG0,A327PCT23YH90,LT,1,1,1,1339545600,cat fan new food,cat happily eating felidae platinum two year got new bag shape food different tried new food first put bowl bowl sit full kitty touch food ive noticed similar review related formula change past unfortunately need find new food cat eat
14,B001GVISJM,A18ECVX2RJ7HUE,"willie ""roadie""",2,2,4,1288915200,fresh greasy,good flavor came securely packed fresh delicious love twizzlers
15,B001GVISJM,A2MUGFV2TDQ47K,"Lynrie ""Oh HELL no""",4,5,5,1268352000,strawberry twizzlers yummy,strawberry twizzlers guilty pleasure yummy six pound around son
16,B001GVISJM,A1CZX3CP8IKQIJ,Brian A. Lee,4,5,5,1262044800,lot twizzlers expect,daughter love twizzlers shipment six pound really hit spot exactly would expectsix package strawberry twizzlers
17,B001GVISJM,A3KLWF6WQ5BNYO,Erica Neathery,0,0,2,1348099200,poor taste,love eating good watching tv looking movie sweet like transfer zip lock baggie stay fresh take time eating
18,B001GVISJM,AFKW14U97Z6QO,Becca,0,0,5,1345075200,love,satisfied twizzler purchase shared others enjoyed definitely ordering
19,B001GVISJM,A2A9X58G2GTBLP,Wolfee1,0,0,5,1324598400,great sweet candy,twizzlers strawberry childhood favorite candy made lancaster pennsylvania candy inc one oldest confectionery firm united state subsidiary hershey company company established 1845 young smylie also make apple licorice twist green color blue raspberry licorice twist like allbr br keep dry cool place recommended put fridge according guinness book record longest licorice twist ever made measured 1200 foot 370 weighted 100 pound 45 kg made candy inc recordbreaking twist became guinness world record july 19 1998 product kosher thank
20,B001GVISJM,A3IV7CL2C13K2U,Greg,0,0,5,1318032000,home delivered twizlers,candy delivered fast purchased reasonable price home bound unable get store perfect
21,B001GVISJM,A1WO0KGLPR5PV6,mom2emma,0,0,5,1313452800,always fresh,husband twizzlers addict weve bought many time amazon government employee living overseas cant get country assigned theyve always fresh tasty packed well arrive timely manner
